objectid,filename,compound,title,format,titleSE,patentnumber,titleJP,patentee,patentee2,patentee3,inventor,location,date,class,latitude,longtitude,subject,description
patent45,,,Improvements in compound internal combustion engines,image/jpg,Anordning vid kompoundförbränningsmotorer,88851,二「サイクル」及四「サイクル」聯成內燃機關,Firman Mitsubishi Jukogyo Kabushiki Kaisha,,,Kikuhei Shimizu,Tokyo,1935-06-25,"Internal-combustion engines; compressed-air, springactuated and other power engines",35.652832,139.839478,"Internal-combustion engines; compressed-air, springactuated and other power engines",
patent46,,,Improved method of treating carbonaceous electrode-elements,image/jpg,Sätt att behandla kolhaltiga elektrodelement,91305,電解用碳素質電極體ノ處理法,Asahi Denka Kogyo Kabushiki-Kaisha,,,Masutaro Suzuki,Tokyo,1935-11-21,"Chemical processes and apparatus, not covered by special classes",35.652832,139.839478,"Chemical processes and apparatus, not covered by special classes",
patent47,,,Oil pump,image/jpg,Oljepump,91330,,Minoru Uesugi,,,,Osaka,1936-04-27,"Machine elements, insulating bodies, brakes, lubricating devices, control devices for fluent materials, drives, compound elements of precision mechanics",34.672314,135.484802,"Machine elements, insulating bodies, brakes, lubricating devices, control devices for fluent materials, drives, compound elements of precision mechanics",
patent48,,,Method of manufacturing metallic sodium,image/jpg,Sätt att framställa metalliskt natrium,91899,金屬「ナトリウム」ノ製造法,Ryosaburo Hara,Suyekiche Abe,,,Sendai,1935-07-29,"Non-ferrous metallurgy, metal alloys, electrometallurgy, refinement of metals and metal alloys",38.268223,140.869415,"Non-ferrous metallurgy, metal alloys, electrometallurgy, refinement of metals and metal alloys",
patent49,,,Improvements in or relating to television or like electrical image transmitting systems,image/jpg,Katodstråleanalyseringsanordning för television,93952,送像裝置,Standard Electric AS,,,Juichi Osawa,Oslo,1936-07-14,"Non-ferrous metallurgy, metal alloys, electrometallurgy, refinement of metals and metal alloys",,,"Non-ferrous metallurgy, metal alloys, electrometallurgy, refinement of metals and metal alloys",
patent50,,,Improvements in or relating to the manufacture of fertilizers,image/jpg,Sätt att framställa gödningsmedel innehållande urinämne och kalciumsulfat,95891,,Kuro Hosokawa,,,,Suwa,1937-03-25,"Production of fertilisers, processing of animal carcasses, chemical earth treatment",36.03799,138.11308,"Production of fertilisers, processing of animal carcasses, chemical earth treatment",
patent51,,,Permanent magnet,image/jpg,Permanent magnet,96724,高磁力合金,Robert Bosch AG,,,Tokushichi Mishima,Stuttgart,1932-01-29,Ferrous metallurgy,,,Ferrous metallurgy,
patent52,,,Method for treating ores by electric high frequency waves,image/jpg,Förfaringssätt för reducering av malmer med tillhjälp av högfrekventa elektriska strömmar,97587,原礦處理法,Nihon Koshuha Jukogyo Kabushiki Kaisha,,,Hideyuki Kikuchi,Seoul,1935-12-28,Ferrous metallurgy,37.532600,127.024612,Ferrous metallurgy,
patent53,,,Improvements in supply systems for high-voltage high-frequency apparatus,image/jpg,Metallurgisk upphettningsanordning,108726,,Hideyuki Kikuchi,,,,Tokyo,1938-11-08,Electrical engineering,35.652832,139.839478,Electrical engineering,
patent54,,,Device for compressing or extending the amplitude range of signal currents or voltages,image/jpg,Anordning för sammanpressning eller utvidgning av amplitudområdet för signalströmmar eller signalspänningar,104574,,Standard Electric AS,,,K. Kobayashi,Oslo,1937-03-25,Electrical engineering,,,Electrical engineering,
